2022-11-23,6292
2023-05-09,3681651
2024-12-03,2376388
2023-09-23,2831297
2024-09-24,1277873
2024-03-12,297743
2023-01-05,761
2024-10-29,1116817
2024-07-22,109665
2023-10-02,4892458
2024-06-15,691044
2024-09-13,1313689
2024-02-20,1460575
2023-10-03,4191682
2023-10-22,2010043
2023-09-15,1939094
2023-05-20,952763
2023-12-07,1104053
2023-10-26,1638966
2023-02-20,885
2023-03-25,66852
2024-11-22,7495687
2023-03-04,278340
2023-02-27,140456
2023-03-05,187198
2024-11-28,3169821
2024-03-28,110662
2023-03-31,21668
2023-11-22,1122411
2024-06-21,100620
2024-04-25,234814
2024-04-06,157891
2023-04-20,2041600
2024-01-23,213222
2025-01-21,1174212
2024-07-05,160264
2024-11-29,2668335
2024-09-30,584406
2024-08-24,271763
2024-08-10,377149
2023-04-14,778286
2023-04-27,18761865
2023-08-03,4227088
2023-05-05,2923253
2024-06-24,115145
2023-04-18,463125
2023-02-28,55409
2024-05-16,89294
2023-03-07,193988
2023-02-09,974
2024-12-02,2621519
2023-05-07,1775986
2025-01-15,614292
2024-12-28,502638
2024-01-09,825863
2024-02-01,624225
2023-12-23,909179
2025-01-22,936851
2024-06-28,87177
2024-01-20,257306
2024-03-03,441221
2024-03-11,151963
2023-01-19,5571
2023-01-20,3973
2024-01-31,563007
2023-04-29,7881272
2024-02-03,602100
2024-04-22,227063
2024-05-20,106394
2024-01-26,168884
2024-09-23,1027622
2023-07-06,4849958
2023-08-17,2827176
2024-11-24,5509333
2024-10-07,794953
2024-04-19,358136
2024-04-01,159633
2024-08-20,402380
2024-03-05,231014
2024-06-06,131344
2024-08-29,20972164
2024-09-21,678015
2023-09-24,2955241
2022-11-22,113570
2023-11-28,1830557
2024-04-15,567945
2024-04-10,2904363
2024-09-12,1395331
2023-03-30,40252
2023-10-09,2767423
2023-07-25,7618990
2024-01-07,833891
2024-07-23,87390
2023-01-24,4286
2024-11-06,7936581
2024-08-12,423540
2023-03-18,99426
2023-03-28,62755
2023-02-04,32740
2024-12-18,701030
2024-12-06,1481518
2023-10-31,1738324
2023-07-31,2588345
2023-09-17,1551035
2024-07-16,73133
2024-11-21,9662234
2023-05-12,3963214
2023-09-11,2615956
2023-11-13,1589772
2025-01-18,561834
2025-01-08,1441432
2024-08-23,359052
2023-12-02,1025103
2024-07-30,130080
2023-12-06,1143771
2023-12-21,1569071
2023-09-16,1474006
2024-10-30,865583
2023-02-19,638
